"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-01 (formerly CANSIM 379-0031)"
"Release date: 2026-08-28"
"Geography: Canada"
""
""

"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2017) dollars 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 4","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026","February 2026","March 2026","April 2026","May 2026","June 2026"
"Energy sector  [T016] 5","149,224","151,373","147,734","137,641","135,678","130,291","131,072","128,128","130,218","134,507","136,879","138,755","141,257","141,308","140,478","137,305","140,168","143,311","142,985","144,876","146,622","147,392","143,850","144,192","145,158","146,984","146,523","149,252","148,720","148,941","150,594","150,782","152,400","149,734","148,698","145,738","148,227","150,390","151,506","152,421","148,611","150,840","151,676","151,110","149,898","150,429","153,814","155,202","149,376","152,582","153,143","154,578","154,649","157,498","156,672","156,753","155,176","158,898","156,463","159,708","163,195","160,630","162,985","160,997","157,457","158,252","162,439","161,819","162,434","161,883","162,968","162,181","163,529","164,176","162,207","166,947","168,187","166,329"
"Public sector  [T018] 5","427,618","428,802","401,648","375,156","387,554","400,431","412,410","417,721","421,212","423,917","425,079","426,830","427,840","429,313","433,158","429,340","432,701","435,828","438,285","438,597","440,924","440,215","441,332","442,307","441,075","443,434","443,917","444,856","446,700","448,483","449,585","450,321","451,201","453,395","454,476","455,541","456,907","458,304","459,334","456,877","459,623","460,548","461,282","462,499","463,446","463,291","458,696","454,297","465,832","468,372","470,538","472,063","474,402","476,137","478,277","479,181","479,149","479,366","479,250","479,821","481,023","480,854","481,111","483,648","484,036","482,920","482,977","481,696","481,389","479,654","482,608","483,457","483,250","482,770","483,750","485,467","487,034","488,384"
"Agriculture, forestry, fishing and hunting  [11]","41,222","41,498","41,791","41,028","41,567","41,867","42,048","41,986","41,616","41,301","40,725","39,791","38,667","37,705","36,791","36,322","35,926","35,212","33,767","32,123","31,919","32,560","34,242","36,494","37,314","38,892","40,361","41,636","42,872","43,927","45,705","48,073","48,289","47,657","46,677","45,649","44,920","44,315","43,796","43,267","42,184","42,080","41,471","40,721","40,234","40,884","41,560","42,132","42,400","42,610","42,804","43,000","43,212","43,453","43,618","43,857","44,090","44,184","44,054","43,902","44,121","44,401","44,648","44,989","45,379","45,763","46,496","47,895","48,461","48,278","47,794","47,323","46,703","46,073","45,453","44,889","44,464","44,330"
"Mining, quarrying, and oil and gas extraction  [21]","112,812","114,000","108,561","92,975","96,777","91,563","93,150","92,312","95,554","96,479","100,718","104,425","106,143","104,229","104,310","101,682","102,308","103,913","106,030","105,982","107,454","108,671","105,471","105,643","105,298","107,571","107,330","109,374","110,253","110,749","111,795","110,718","111,983","109,904","109,905","106,456","108,753","110,334","110,513","110,971","107,530","109,701","111,617","111,617","110,626","112,011","114,155","116,008","110,932","114,498","114,373","115,567","115,029","116,246","115,252","115,656","114,766","117,357","116,636","118,140","120,954","118,053","120,861","119,633","117,745","117,517","121,014","120,788","121,049","120,802","121,105","120,003","121,770","122,123","120,426","123,955","124,509","123,779"
"Utilities  [22]","45,282","45,502","45,807","45,246","45,389","46,076","47,085","45,995","44,952","45,803","45,184","45,287","44,753","45,266","44,978","44,494","45,386","47,177","45,965","46,081","45,812","46,092","45,186","46,238","48,026","47,287","47,183","47,609","47,166","47,297","47,625","49,238","48,428","47,547","47,476","47,506","46,638","47,111","47,564","47,629","47,215","46,650","46,157","46,019","46,265","46,194","46,978","46,028","46,474","45,432","45,974","45,884","46,165","47,340","48,171","47,514","47,431","47,621","45,949","48,077","49,066","50,036","48,912","48,605","48,258","47,408","47,681","46,800","46,541","46,618","46,985","48,006","48,176","48,125","48,105","48,382","48,616","48,073"
"Construction  [23]","160,592","160,901","154,277","127,672","147,734","156,834","154,308","153,843","154,528","156,253","156,699","159,487","161,654","163,690","167,621","172,305","168,644","165,556","163,212","163,926","163,546","163,935","164,096","164,575","165,972","168,604","168,804","167,498","166,814","167,020","165,935","166,091","164,903","166,500","166,593","165,738","165,403","165,253","166,033","167,663","166,687","166,511","166,720","166,764","166,607","165,772","165,348","164,175","163,445","164,693","166,818","165,950","166,023","165,065","164,645","165,902","167,571","167,514","167,559","168,027","168,222","167,770","168,688","168,861","168,919","169,673","171,012","171,811","171,654","170,283","170,558","169,405","168,796","166,492","165,766","167,604","169,106","169,534"
"Manufacturing  [31-33]","205,186","208,668","190,890","153,613","169,204","190,184","199,091","202,853","204,289","204,924","207,719","207,950","210,333","206,940","209,330","205,068","203,909","207,655","207,166","207,702","203,873","209,526","210,867","213,127","213,695","214,159","215,318","213,953","210,623","213,346","211,676","210,989","210,987","208,278","207,581","207,647","212,183","212,650","214,241","214,280","215,046","212,716","210,967","210,541","210,328","208,507","208,432","206,489","205,813","207,588","204,834","205,200","206,649","206,665","206,928","206,113","205,625","206,219","205,726","203,044","205,723","206,331","204,333","201,624","199,233","197,593","201,258","199,494","201,540","199,376","196,482","197,880","195,134","197,999","197,706","199,709","201,269","202,428"
"Wholesale trade  [41]","113,333","114,429","108,704","89,200","94,131","111,834","117,618","118,126","118,835","118,705","119,101","118,364","119,480","116,781","119,958","119,494","117,523","115,122","114,068","115,368","117,135","118,545","122,616","123,870","125,019","123,582","123,690","122,381","123,144","122,882","122,126","122,630","122,499","123,095","122,061","121,067","125,055","123,248","122,163","120,379","123,081","120,363","122,393","122,933","122,723","122,868","124,899","124,995","124,927","124,487","123,741","125,190","124,650","122,992","123,603","122,746","124,690","125,827","125,327","125,568","126,407","127,902","127,538","124,709","125,474","126,454","127,828","126,685","126,880","126,506","124,791","126,351","124,473","126,810","128,617","129,158","128,214","130,435"
"Retail trade  [44-45]","106,216","105,672","95,657","79,344","92,702","108,735","108,202","107,799","110,503","111,571","112,448","109,367","105,561","112,818","115,454","107,530","104,525","110,099","110,233","112,709","112,255","113,483","114,165","110,720","112,442","114,459","116,451","115,263","116,467","116,487","115,600","116,755","117,028","116,756","116,019","116,761","118,828","118,700","118,865","118,755","119,243","118,592","118,048","117,739","118,376","119,901","120,350","119,199","119,574","119,778","119,542","120,368","119,351","118,995","120,810","120,693","122,331","122,445","121,791","124,162","123,350","123,270","124,385","124,909","123,876","125,147","123,639","125,115","124,207","123,310","124,634","124,576","125,572","125,690","125,178","124,706","125,560","127,364"
"Transportation and warehousing  [48-49]","101,041","98,859","81,407","57,822","58,876","65,304","67,822","68,324","69,868","71,901","73,273","74,679","73,228","72,709","73,763","73,440","73,355","74,250","78,006","81,884","83,891","86,024","87,846","88,680","84,849","87,653","90,242","91,306","92,973","94,493","93,634","93,652","94,653","94,972","94,898","93,495","95,923","96,569","97,666","97,594","98,159","97,567","97,908","99,396","99,565","99,324","100,370","100,231","100,050","101,793","100,860","101,350","101,615","102,373","102,227","102,049","103,162","103,517","102,264","102,008","103,274","101,441","103,044","102,676","103,620","102,673","103,966","102,530","104,150","103,565","104,421","105,375","105,151","106,327","106,205","106,942","107,171","107,405"
"Information and cultural industries  [51]","70,070","70,157","66,365","64,275","64,451","65,953","66,970","68,537","68,828","69,361","69,529","69,812","70,328","70,369","70,795","70,800","71,158","71,551","72,419","73,774","73,551","73,942","74,087","74,334","73,681","74,048","73,893","73,764","74,002","74,115","74,502","75,063","75,263","75,072","74,965","74,624","75,250","76,508","77,253","77,779","78,378","78,514","78,146","77,865","77,946","77,837","78,862","79,082","80,176","79,686","79,584","79,544","79,509","79,892","79,569","79,925","79,862","79,419","79,602","79,632","80,026","80,972","80,666","80,546","81,217","80,934","80,411","80,586","81,184","81,903","81,550","81,951","82,602","83,429","83,255","83,179","83,250","83,624"
"Finance and insurance  [52]","144,858","145,615","140,142","143,498","143,606","146,279","147,414","147,813","148,552","150,419","151,753","151,854","154,548","154,858","154,933","154,539","156,442","157,849","159,387","160,777","161,838","161,741","162,553","163,699","163,985","163,752","163,943","162,587","162,172","161,309","161,363","161,153","160,585","160,600","160,983","161,472","162,694","164,144","164,411","164,261","164,477","164,072","163,867","164,004","163,857","164,790","164,772","165,135","165,998","166,699","166,500","168,211","168,711","169,551","170,378","172,843","174,038","174,692","173,955","173,836","174,288","175,171","174,306","176,579","176,101","176,397","177,670","178,678","179,766","179,929","179,933","179,693","181,095","181,418","180,503","181,605","182,086","182,759"
"Real estate and rental and leasing  [53]","274,539","275,395","271,913","262,782","266,123","273,517","279,317","280,951","282,446","281,288","281,158","283,183","284,606","285,429","286,819","285,225","284,045","283,287","283,946","284,832","285,898","287,918","288,800","289,011","290,307","291,524","290,268","287,422","286,392","285,722","285,815","286,470","286,789","287,440","287,680","288,395","288,496","289,565","290,748","292,705","294,176","294,778","295,146","295,214","295,302","294,683","295,312","297,255","299,081","299,722","300,498","300,618","301,131","301,864","301,987","302,369","303,245","304,907","306,132","305,614","305,910","305,082","304,649","305,395","306,316","307,148","308,578","309,210","309,231","309,766","310,141","310,324","309,423","309,832","310,171","311,054","312,260","312,736"
"Professional, scientific and technical services  [54]","133,155","134,318","119,400","118,223","119,742","124,646","128,269","130,875","133,119","135,592","137,430","137,443","139,018","139,812","140,435","140,118","140,508","141,598","143,444","144,994","147,349","148,637","149,599","150,748","151,678","153,041","154,431","154,859","155,659","156,166","157,712","158,820","160,139","160,703","160,395","161,417","162,757","163,641","164,674","165,183","165,534","165,639","164,710","165,099","165,107","165,399","165,228","165,325","166,583","166,675","167,345","167,944","168,139","168,617","169,332","169,075","169,263","169,369","169,892","169,598","169,089","169,418","168,929","169,043","169,291","168,878","169,172","168,736","168,744","168,595","168,888","168,629","168,519","168,355","168,074","167,953","167,794","167,547"
"Management of companies and enterprises  [55]","4,548","4,457","4,305","4,234","4,127","4,031","3,838","3,671","3,522","3,405","3,261","3,137","3,088","3,052","2,957","2,883","2,831","2,742","2,697","2,622","2,583","2,478","2,375","2,284","2,225","2,153","2,109","1,998","1,905","1,823","1,774","1,730","1,681","1,637","1,582","1,547","1,530","1,500","1,470","1,415","1,394","1,332","1,304","1,257","1,223","1,187","1,147","1,117","1,111","1,068","1,036","1,012","987","963","937","905","878","852","824","791","794","769","753","746","734","713","703","692","682","663","650","640","616","595","582","560","551","542"
"Administrative and support, waste management and remediation services  [56]","58,505","58,490","47,607","40,761","41,963","47,273","48,460","50,338","51,627","52,705","53,393","54,110","54,650","54,111","54,237","54,442","54,268","54,619","55,388","56,174","56,507","57,042","57,302","58,004","58,296","58,991","59,256","59,255","59,584","59,907","60,218","60,446","60,696","60,649","60,862","60,748","61,014","61,347","61,368","61,548","61,502","61,380","61,144","61,006","61,126","61,075","61,088","61,054","61,372","61,194","61,350","61,295","61,241","60,806","60,831","60,795","60,852","61,022","60,867","61,143","61,107","61,489","61,307","61,193","60,974","60,845","60,841","61,113","60,937","60,820","61,036","61,207","61,380","60,883","60,981","61,110","61,362","61,347"
"Educational services  [61]","116,156","115,746","106,191","96,334","103,482","105,658","110,184","112,840","113,566","113,673","113,824","114,278","114,491","114,771","116,353","111,396","114,086","115,043","116,297","117,051","117,098","117,324","117,625","117,765","116,963","117,037","116,952","117,648","118,235","119,093","119,029","119,058","119,362","119,493","119,874","120,216","120,862","121,291","121,525","121,621","121,613","121,705","122,175","122,827","123,055","122,307","117,229","112,334","121,532","122,497","123,712","124,736","125,642","125,984","126,180","126,251","125,981","126,078","126,039","125,896","126,675","126,258","126,820","126,625","126,629","126,244","125,824","125,159","124,379","121,868","123,251","123,714","123,766","123,144","122,982","123,259","123,440","123,702"
"Health care and social assistance  [62]","158,868","159,917","150,264","137,619","142,377","150,332","155,044","156,747","157,883","159,175","160,005","160,357","160,941","161,719","162,517","163,308","164,253","165,274","166,297","166,911","167,227","167,529","167,834","168,350","168,638","169,910","170,470","170,881","171,263","171,817","172,608","172,960","174,013","174,643","174,839","175,366","175,660","176,147","176,507","176,665","176,929","177,187","177,376","177,637","178,211","178,561","178,833","178,751","180,783","181,699","182,592","183,192","183,796","184,453","185,290","185,873","186,327","186,577","186,907","187,375","187,261","187,530","187,928","188,434","189,180","188,650","189,479","189,799","190,438","190,758","191,220","191,223","191,546","191,936","191,911","192,348","192,755","192,640"
"Arts, entertainment and recreation  [71]","16,896","17,073","11,815","7,044","6,899","7,524","9,101","9,915","10,228","10,547","10,417","10,389","10,029","10,272","10,717","10,531","10,424","11,410","12,722","13,887","14,900","15,743","16,377","15,496","13,409","14,525","16,139","16,571","16,798","17,119","17,214","17,442","17,678","17,751","17,743","18,131","18,289","18,239","18,407","18,279","18,345","18,368","18,802","18,798","18,418","18,482","18,578","18,575","18,669","18,695","18,721","18,828","18,883","18,800","18,906","19,003","18,961","18,928","19,105","19,097","19,224","19,112","19,021","19,342","19,534","19,333","19,298","19,422","19,266","19,324","19,310","19,634","19,565","19,149","19,411","19,506","19,657","19,882"
"Accommodation and food services  [72]","48,038","47,338","30,311","17,443","20,294","25,368","30,159","32,934","33,009","30,314","30,814","27,972","28,994","29,740","33,669","30,214","29,421","34,714","38,720","41,291","42,510","42,528","43,555","43,916","37,709","42,633","46,001","46,873","48,040","49,044","49,940","50,205","50,660","50,937","50,373","50,729","52,056","51,666","51,183","50,533","50,843","49,750","49,913","49,059","49,555","49,938","50,469","50,699","50,847","51,107","50,870","50,869","51,107","51,057","51,060","50,508","50,593","50,869","51,158","51,295","51,517","51,301","51,916","52,121","52,078","51,753","51,863","52,315","52,001","52,565","52,740","52,756","53,175","52,932","52,678","53,018","53,423","53,565"
"Other services (except public administration)  [81]","41,330","41,413","37,514","30,765","32,282","34,054","36,424","37,505","38,075","38,339","38,424","38,367","38,449","38,455","38,368","38,344","38,532","38,762","39,346","39,912","40,428","40,744","40,869","41,011","41,240","41,615","42,134","42,414","42,658","43,020","43,268","43,505","43,700","43,824","43,861","43,981","44,266","44,533","44,712","45,004","44,892","44,849","44,808","44,838","44,885","44,891","44,947","44,903","45,010","44,974","44,939","44,945","44,928","44,946","45,034","44,975","44,912","44,809","44,793","44,691","44,697","44,695","44,685","44,656","44,627","44,538","44,478","44,473","44,552","44,576","44,702","44,833","44,953","45,050","45,068","45,096","45,143","45,166"
"Public administration  [91]","152,563","153,111","145,175","141,281","141,727","144,418","147,143","148,087","149,724","151,038","151,212","152,165","152,377","152,788","154,260","154,523","154,305","155,456","155,655","154,631","156,565","155,352","155,861","156,175","155,454","156,448","156,450","156,309","157,172","157,556","157,922","158,272","157,802","159,218","159,718","159,923","160,357","160,842","161,275","158,604","161,049","161,615","161,711","162,026","162,170","162,390","162,474","162,923","163,449","164,110","164,193","164,119","164,958","165,687","166,774","167,035","166,807","166,683","166,280","166,517","167,063","167,031","166,351","168,539","168,178","167,972","167,612","166,672","166,484","166,871","167,997","168,385","167,814","167,554","168,700","169,694","170,661","171,853"




Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2023, the data is presented on a 2017 reference year basis."
4,"With November 28, 2025 release, the monthly gross domestic product (GDP) by industry adopted the <a href="https://www.statcan.gc.ca/en/subjects/standard/naics/2022/v1/index" rel="external noopener noreferrer" target="_blank">North American Industry Classification System (NAICS) Canada 2022 version 1.0 (opens new window)</a>."
5,"The alphanumeric code represents an aggregation of North American Industry Classification System (NAICS) industries, whose definition is available in the <a href="https://www.statcan.gc.ca/en/statistical-programs/document/1303_D7_V4" rel="external noopener noreferrer" target="_blank">Gross domestic product (GDP) by industry, Industry code concordance (opens new window)</a>."



"How to cite: Statistics Canada. Table 36-10-0434-01  Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043401
